Municipio;Nombre;PrecioM2MedMunTipo;RentaMunicipio;RentaMedia;AumentoPoblacion
"""36057""";Vigo;1594,9;28752,0;25026,0;851,0
"""36060""";Vilagarcía de Arousa;979,0;22613,0;25026,0;66,0
"""28005""";Alcalá de Henares;1811,6;29086,0;37768,0;1672,0
"""28006""";Alcobendas;3100,9;64063,0;37768,0;1725,0
"""28007""";Alcorcón;2242,9;28671,0;37768,0;2676,0
"""28013""";Aranjuez;1465,5;28189,0;37768,0;1620,0
"""28014""";Arganda del Rey;1620,8;25710,0;37768,0;2565,0
"""28022""";Boadilla del Monte;3032,0;62965,0;37768,0;7589,0
"""28045""";Colmenar Viejo;2017,7;34991,0;37768,0;3866,0
"""28047""";Collado Villalba;1865,0;28870,0;37768,0;1673,0
"""28049""";Coslada;2011,5;27165,0;37768,0;-1738,0
"""28058""";Fuenlabrada;1820,2;23905,0;37768,0;-2436,0
"""28061""";Galapagar;1831,8;35348,0;37768,0;1809,0
"""28065""";Getafe;2028,2;29499,0;37768,0;4807,0
"""28074""";Leganés;1987,5;26634,0;37768,0;42,0
"""28079""";Madrid;3587,9;41176,0;37768,0;122427,0
"""28080""";Majadahonda;3397,6;55651,0;37768,0;735,0
"""28092""";Móstoles;1889,2;25495,0;37768,0;3050,0
"""28096""";Navalcarnero;1627,0;27614,0;37768,0;3125,0
"""28106""";Parla;1466,1;23228,0;37768,0;5791,0
"""28113""";Pinto;1958,5;28659,0;37768,0;3095,0
"""28115""";Pozuelo de Alarcón;3533,8;82188,0;37768,0;1529,0
"""28123""";Rivas-Vaciamadrid;2267,8;34787,0;37768,0;9158,0
"""28127""";Rozas de Madrid, Las;3092,3;52066,0;37768,0;-209,0
"""28130""";San Fernando de Henares;2052,8;26296,0;37768,0;-368,0
"""28134""";San Sebastián de los Reyes;2771,1;37315,0;37768,0;4255,0
"""28148""";Torrejón de Ardoz;1903,2;27620,0;37768,0;4758,0
"""28161""";Valdemoro;1757,3;29274,0;37768,0;3611,0
"""28181""";Villaviciosa de Odón;2318,9;51005,0;37768,0;526,0
"""28903""";Tres Cantos;2852,1;43349,0;37768,0;2705,0
"""30003""";Águilas;1020,5;20848,0;24380,0;1198,0
"""30005""";Alcantarilla;764,9;23038,0;24380,0;1228,0
"""30015""";Caravaca de la Cruz;712,9;21417,0;24380,0;-22,0
"""30016""";Cartagena;1093,3;26593,0;24380,0;2188,0
"""30019""";Cieza;844,3;19945,0;24380,0;314,0
"""30022""";Jumilla;632,6;19955,0;24380,0;562,0
"""30024""";Lorca;859,7;21266,0;24380,0;3939,0
"""30026""";Mazarrón;1227,9;18033,0;24380,0;1992,0
"""30027""";Molina de Segura;908,2;28703,0;24380,0;3154,0
"""30030""";Murcia;1240,1;28238,0;24380,0;17106,0
"""30035""";San Javier;1306,6;24649,0;24380,0;1950,0
"""30037""";Torre-Pacheco;862,1;20117,0;24380,0;2101,0
"""30039""";Totana;804,0;19405,0;24380,0;922,0
"""30043""";Yecla;666,6;21896,0;24380,0;991,0
"""26089""";Logroño;1309,2;29275,0;26735,0;-171,0
"""51001""";Ceuta;1813,9;31504,0;31504,0;-1442,0
"""52001""";Melilla;1737,7;30175,0;30175,0;141,0
